TransactionId,BookId,ReservationDate,CheckoutDate,ReturnDate,MemberId
44,60,09/10/2018,08/10/2018,20/11/2018,1234
45,55,---,10/08/2018,10/09/2018,5677
46,55,---,11/09/2018,07/10/2018,3422
47,55,---,08/10/2018,---,3532
48,55,09/10/2018,08/10/2018,---,1234
49,55,09/10/2018,08/10/2018,20/11/2018,1234
50,56,---,10/08/2018,10/09/2018,5677
51,56,---,11/09/2018,07/10/2018,3422
52,56,---,08/10/2018,---,3532
53,56,09/10/2018,08/10/2018,---,1234
54,56,09/10/2018,08/10/2018,20/11/2018,1234
55,57,---,10/08/2018,10/09/2018,5677
56,57,---,11/09/2018,07/10/2018,3422
57,57,---,08/10/2018,---,3532
58,57,09/10/2018,08/10/2018,---,1234
59,57,09/10/2018,08/10/2018,20/11/2018,1234
60,58,---,10/08/2018,10/09/2018,5677
61,58,---,11/09/2018,07/10/2018,3422
62,58,---,08/10/2018,---,3532
63,58,09/10/2018,08/10/2018,---,1234
64,58,09/10/2018,08/10/2018,20/11/2018,1234
65,59,---,10/08/2018,10/09/2018,5677
66,59,---,11/09/2018,07/10/2018,3422
67,59,---,08/10/2018,---,3532
68,59,09/10/2018,08/10/2018,---,1234
69,59,09/10/2018,08/10/2018,20/11/2018,1234
70,40,---,10/08/2018,10/09/2018,5677
71,40,---,11/09/2018,07/10/2018,3422
72,40,---,08/10/2018,---,3532
73,40,09/10/2018,08/10/2018,---,1234
74,40,09/10/2018,08/10/2018,20/11/2018,1234
75,41,---,10/08/2018,10/09/2018,5677
76,41,---,11/09/2018,07/10/2018,3422
77,41,---,08/10/2018,---,3532
78,41,09/10/2018,08/10/2018,---,1234
79,41,09/10/2018,08/10/2018,20/11/2018,1234
80,42,---,10/08/2018,10/09/2018,5677
81,42,---,11/09/2018,07/10/2018,3422
82,42,---,08/10/2018,---,3532
83,42,09/10/2018,08/10/2018,---,1234
84,42,09/10/2018,08/10/2018,20/11/2018,1234
85,43,---,10/08/2018,10/09/2018,5677
86,43,---,11/09/2018,07/10/2018,3422
87,43,---,08/10/2018,---,3532
88,43,09/10/2018,08/10/2018,---,1234
89,43,09/10/2018,08/10/2018,20/11/2018,1234
90,44,---,10/08/2018,10/09/2018,5677
91,44,---,11/09/2018,07/10/2018,3422
92,44,---,08/10/2018,---,3532
93,44,09/10/2018,08/10/2018,---,1234
94,44,09/10/2018,08/10/2018,20/11/2018,1234
95,45,---,10/08/2018,10/09/2018,5677
96,45,---,11/09/2018,07/10/2018,3422
97,45,---,08/10/2018,---,3532
98,45,09/10/2018,08/10/2018,---,1234
99,45,09/10/2018,08/10/2018,20/11/2018,1234
100,46,---,10/08/2018,10/09/2018,5677
101,46,---,11/09/2018,07/10/2018,3422
102,46,---,08/10/2018,---,3532
103,46,09/10/2018,08/10/2018,---,1234
104,46,09/10/2018,08/10/2018,20/11/2018,1234
105,47,---,10/08/2018,10/09/2018,5677
106,47,---,11/09/2018,07/10/2018,3422
107,47,---,08/10/2018,---,3532
108,47,09/10/2018,08/10/2018,---,1234
109,47,09/10/2018,08/10/2018,20/11/2018,1234
110,48,---,10/08/2018,10/09/2018,5677
111,48,---,11/09/2018,07/10/2018,3422
112,48,---,08/10/2018,---,3532
113,48,09/10/2018,08/10/2018,---,1234
114,48,09/10/2018,08/10/2018,20/11/2018,1234
115,49,---,10/08/2018,10/09/2018,5677
116,49,---,11/09/2018,07/10/2018,3422
117,49,---,08/10/2018,---,3532
118,49,09/10/2018,08/10/2018,---,1234
119,49,09/10/2018,08/10/2018,20/11/2018,1234
120,30,---,10/08/2018,10/09/2018,5677
121,30,---,11/09/2018,07/10/2018,3422
122,30,---,08/10/2018,---,3532
123,30,09/10/2018,08/10/2018,---,1234
124,30,09/10/2018,08/10/2018,20/11/2018,1234
125,31,---,10/08/2018,10/09/2018,5677
126,31,---,11/09/2018,07/10/2018,3422
127,31,---,08/10/2018,---,3532
128,31,09/10/2018,08/10/2018,---,1234
129,31,09/10/2018,08/10/2018,20/11/2018,1234
130,32,---,10/08/2018,10/09/2018,5677
131,32,---,11/09/2018,07/10/2018,3422
132,32,---,08/10/2018,---,3532
133,32,09/10/2018,08/10/2018,---,1234
134,32,09/10/2018,08/10/2018,20/11/2018,1234
135,33,---,10/08/2018,10/09/2018,5677
136,33,---,11/09/2018,07/10/2018,3422
137,33,---,08/10/2018,---,3532
138,33,09/10/2018,08/10/2018,---,1234
139,33,09/10/2018,08/10/2018,20/11/2018,1234
140,34,---,10/08/2018,10/09/2018,5677
141,34,---,11/09/2018,07/10/2018,3422
142,34,---,08/10/2018,---,3532
143,34,09/10/2018,08/10/2018,---,1234
144,34,09/10/2018,08/10/2018,20/11/2018,1234
145,35,---,10/08/2018,10/09/2018,5677
146,35,---,11/09/2018,07/10/2018,3422
147,35,---,08/10/2018,---,3532
148,35,09/10/2018,08/10/2018,---,1234
149,35,09/10/2018,08/10/2018,20/11/2018,1234
150,36,---,10/08/2018,10/09/2018,5677
151,36,---,11/09/2018,07/10/2018,3422
152,36,---,08/10/2018,---,3532
153,36,09/10/2018,08/10/2018,---,1234
154,36,09/10/2018,08/10/2018,20/11/2018,1234
155,37,---,10/08/2018,10/09/2018,5677
156,37,---,11/09/2018,07/10/2018,3422
157,37,---,08/10/2018,---,3532
158,37,09/10/2018,08/10/2018,---,1234
159,37,09/10/2018,08/10/2018,20/11/2018,1234
160,38,---,10/08/2018,10/09/2018,5677
161,38,---,11/09/2018,07/10/2018,3422
162,38,---,08/10/2018,---,3532
163,38,09/10/2018,08/10/2018,---,1234
164,38,09/10/2018,08/10/2018,20/11/2018,1234
165,39,---,10/08/2018,10/09/2018,5677
166,39,---,11/09/2018,07/10/2018,3422
167,39,---,08/10/2018,---,3532
168,39,09/10/2018,08/10/2018,---,1234
169,39,09/10/2018,08/10/2018,20/11/2018,1234
170,20,---,10/08/2018,10/09/2018,5677
171,20,---,11/09/2018,07/10/2018,3422
172,20,---,08/10/2018,---,3532
173,20,09/10/2018,08/10/2018,---,1234
174,20,09/10/2018,08/10/2018,20/11/2018,1234
175,21,---,10/08/2018,10/09/2018,5677
176,21,---,11/09/2018,07/10/2018,3422
177,21,---,08/10/2018,---,3532
178,21,09/10/2018,08/10/2018,---,1234
179,21,09/10/2018,08/10/2018,20/11/2018,1234
180,22,---,10/08/2018,10/09/2018,5677
181,22,---,11/09/2018,07/10/2018,3422
182,22,---,08/10/2018,---,3532
183,22,09/10/2018,08/10/2018,---,1234
184,22,09/10/2018,08/10/2018,20/11/2018,1234
185,23,---,10/08/2018,10/09/2018,5677
186,23,---,11/09/2018,07/10/2018,3422
187,23,---,08/10/2018,---,3532
188,23,09/10/2018,08/10/2018,---,1234
189,23,09/10/2018,08/10/2018,20/11/2018,1234
190,24,---,10/08/2018,10/09/2018,5677
191,24,---,11/09/2018,07/10/2018,3422
192,24,---,08/10/2018,---,3532
193,24,09/10/2018,08/10/2018,---,1234
194,24,09/10/2018,08/10/2018,20/11/2018,1234
195,16,---,11/09/2020,---,1561
196,12,02/02/2022,---,---,5111
197,14,02/02/2022,---,---,5561
198,13,02/02/2022,---,---,5211
199,11,02/02/2022,---,---,6411
200,10,02/02/2022,---,---,9121
